"targets.name","targets.mz","nearest_mz","mz_deviation","signal"
"Palmitamide**IS",256.2628,256.2636,-0.000799999999969714,550300.154202063
"cholesterol-loss of OH2",367.3359,367.3364,-0.00050000000004502,1796.92163095617
"cholesterol-loss of OH",369.3514,369.3548,-0.00339999999999918,4858604.07503584
"Cer(22:0)",372.3473,372.3465,0.000800000000026557,850.832557295201
"LysoPC-P(10:0)",396.2515,396.2515,0,0
"LysoPC-O(10:0)",398.2672,398.2672,0,0
"Cer(24:0)",400.3786,400.3729,0.00569999999999027,0
"Cer(26:0) - H2O**IS",408.3838,408.3857,-0.00189999999997781,417542.379932079
"DG-H20(22:0)",411.3474,411.3493,-0.00190000000003465,207.791662267736
"LysoPC(10:0)",412.2465,412.2465,0,0
"Cer(25:0)",414.3942,414.3906,0.00360000000000582,195.424514358108
"LysoPC-P(12:0)",424.2828,424.2925,-0.00970000000000937,0
"LysoPC-O(12:0)",426.2985,426.2985,0,0
"Cer(26:0)**IS",426.394,426.3965,-0.00249999999999773,1248336.88600909
"Cer(26:1)",428.4099,428.4011,0.00880000000000791,19481.808216945
"DG-H20(24:0)",439.3787,439.3813,-0.00260000000002947,103642.518218315
"LysoPC(12:0)",440.2778,440.2689,0.00890000000003965,730.857053810467
"Cer(27:1)",440.4096,440.4194,-0.00979999999998427,0
"Cer(27:0)",442.4255,442.4262,-0.000699999999994816,219.430571684966
"DG(22:0)",446.3845,446.3845,0,0
"Cer(28:3)",450.3942,450.387,0.00720000000001164,0
"LysoPC-P(14:0)",452.3141,452.3243,-0.0101999999999975,7598.09976433884
"Cer(28:2)",452.4099,452.4187,-0.00880000000000791,0
"DG-H20(25:0)",453.3943,453.3943,0,0
"LysoPC-O(14:0)",454.3298,454.3298,0,0
"Cer(28:1)",454.4255,454.4255,0,0
"Cer(28:0)",456.4412,456.4423,-0.00110000000000809,192.706015097128
"DG-H20(26:1)",465.3941,465.3929,0.00119999999998299,238.608820734797
"LysoPC-P(15:0)",466.3297,466.3297,0,0
"DG-H20(26:0)",467.41,467.41,0,0
"LysoPC(14:0)",468.3091,468.3082,0.000900000000001455,6634.3192073194
"LysoPC-O(15:0)",468.3454,468.3553,-0.00990000000001601,152.410288217905
"Cer(29:1)",468.4409,468.4505,-0.00959999999997763,235.710515202703
"Cer(29:0)",470.4568,470.4521,0.00470000000001392,226.612779771959
"Cer(30:5)",474.3942,474.3949,-0.000699999999994816,477.384691706124
"DG(24:0)",474.4158,474.4246,-0.00880000000000791,1000.1227620288
"Cer(30:4)",476.4099,476.4196,-0.00970000000000937,1531.94008084725
"LysoPC-P(16:1)",478.3295,478.3243,0.00520000000000209,1322.63411836802
"Cer(30:3)",478.4255,478.4255,0,0
"DG-H20(27:1)",479.4097,479.4097,0,0
"LysoPC-O(16:1)",480.3452,480.3356,0.00959999999997763,1396.05838157918
"Cer(30:2)",480.4412,480.4412,0,0
"DG-H20(27:0)",481.4256,481.4167,0.00889999999998281,0
"LysoPC(15:0)",482.3247,482.3237,0.0010000000000332,2033.0381325501
"LysoPC-O(16:0)",482.3611,482.36,0.00110000000000809,262.90308277027
"Cer(30:1)",482.4568,482.4666,-0.00980000000004111,0
"Cer(30:0)",484.4725,484.4725,0,0
"DG(25:0)",488.4314,488.4314,0,0
"DG-H20(28:3)",489.3943,489.3943,0,0
"DG-H20(28:2)",491.41,491.41,0,0
"LysoPC-P(17:1)",492.3451,492.3439,0.00119999999998299,247.192884290541
"DG-H20(28:1)",493.4256,493.4187,0.00689999999997326,0
"LysoPC(16:1)",494.3245,494.3252,-0.000699999999994816,24486.596588107
"LysoPC-O(17:1)",494.3608,494.3643,-0.00350000000003092,219.500580658784
"DG-H20(28:0)",495.4413,495.4459,-0.00459999999998217,231.097154771959
"LysoPC(16:0)",496.3404,496.3421,-0.00170000000002801,1113371.93071453
"LysoPC-O(17:0)",496.3767,496.3845,-0.00779999999997472,309.212626689189
"Cer(31:1)",496.4722,496.4843,-0.0121000000000322,148803.40084229
"Cer(31:0)",498.4881,498.4884,-0.000300000000038381,766.999901406985
"Cer(32:6)",500.4093,500.4093,0,0
"DG(26:1)",500.4312,500.4405,-0.00929999999999609,258.234744510135
"LysoPC-P(18:3)",502.3297,502.3205,0.00920000000002119,282.152132601351
"Cer(32:5)",502.425,502.425,0,0
"DG(26:0)",502.4471,502.4471,0,0
"LysoPC-O(18:3) or LysoPC-P(18:2)",504.3454,504.3551,-0.00970000000000937,415.394851532346
"Cer(32:4)",504.4412,504.4501,-0.00890000000003965,201.367572747309
"LysoPC-P(18:1)",506.361,506.3565,0.00450000000000728,297.15698902027
"Cer(32:3)",506.4568,506.4568,0,0
"DG-H20(29:1)",507.441,507.4506,-0.00960000000003447,0
"LysoPC(17:1)",508.3401,508.3484,-0.00830000000001974,0
"LysoPC-O(18:1) or LysoPC-P(18:0)",508.3767,508.3714,0.00530000000003383,0
"Cer(32:2)",508.4725,508.4811,-0.00860000000000127,266.985738178694
"PA(22:0)",509.3243,509.3239,0.000400000000013279,246.099424619932
"DG-H20(29:0)",509.4569,509.451,0.00589999999999691,256.983187288851
"LysoPC(17:0)",510.356,510.3524,0.00360000000000582,271.528985382251
"LysoPC-O(18:0)",510.3924,510.3924,0,0
"Cer(32:1)",510.4879,510.4879,0,0
"Cer(32:0)",512.5037,512.4982,0.00549999999998363,0
"DG-H20(30:5)",513.3943,513.3863,0.0080000000000382,424.805063227342
"DG(27:1)",514.4468,514.4595,-0.0126999999999953,5279.45059050974
"DG-H20(30:4)",515.41,515.41,0,0
"DG(27:0)",516.4627,516.457,0.00570000000004711,699.929948106402
"DG-H20(30:3)",517.4256,517.4256,0,0
"LysoPC(18:3)",518.3247,518.3222,0.00250000000005457,32046.1868272153
"DG-H20(30:2)",519.4413,519.4323,0.00899999999990087,367.853234990661
"LysoPC(18:2)",520.3404,520.3411,-0.000699999999937972,178955.318583166
"Cer(33:3)",520.4724,520.4724,0,0
"DG-H20(30:1)",521.4569,521.4569,0,1708.87451245035
"LysoPC(18:1)",522.356,522.3575,-0.00149999999996453,138259.494594039
"Cer(33:2)",522.4881,522.4881,0,0
"DG-H20(30:0)",523.4726,NA,NA,6674.4605113131
"LysoPC(18:0)",524.3717,NA,NA,156203.406321918
"DG(28:3)",524.4314,524.4314,0,0
"Cer(33:1)",524.5035,524.4954,0.0081000000000131,212.340952280405
"LysoPC-P(20:5)",526.3297,526.3263,0.00340000000005602,0
"DG(28:2)",526.4471,526.4456,0.00149999999996453,247.896589949324
"Cer(33:0)",526.5194,526.5224,-0.00299999999992906,299.307643581081
"LysoPC-O(20:5) or LysoPC-P(20:4)",528.3454,528.3454,0,0
"Cer(34:6)",528.4406,528.4352,0.00540000000000873,206.665989231419
"DG(28:1)",528.4627,528.4627,0,0
"LysoPC-P(20:3)",530.361,530.3687,-0.00769999999999982,1334.58138062649
"Cer(34:5)",530.4563,530.4563,0,0
"DG(28:0)",530.4784,530.4784,0,0
"LysoPC-O(20:3)",532.3767,532.3851,-0.00839999999993779,159862.817781655
"Cer(34:4)",532.4725,532.4725,0,0
"Cer(34:3)",534.4879,534.4786,0.00929999999993925,0
"DG-H20(31:1)",535.4723,535.4701,0.00220000000001619,0
"Cer(34:2)",536.5038,536.5038,0,0
"PA(24:0)",537.3556,537.3556,0,0
"SM(22:0)",537.4028,537.4028,0,0
"DG-H20(31:0)",537.4882,537.4798,0.00840000000005148,0
"Cer(34:1)",538.5192,538.5236,-0.00440000000003238,277.509712837838
"DG-H20(32:6)",539.4094,539.4021,0.00729999999998654,295.410024282095
"Cer(34:0)",540.5351,540.5336,0.00150000000007822,287.450564822635
"DG-H20(32:5)",541.4251,541.4251,0,0
"LysoPC(20:5)",542.3247,542.3222,0.00250000000005457,1336.65157530363
"DG(29:1)",542.4781,542.4787,-0.000599999999963075,264.111380912162
