mz,name
256.2628,Palmitamide**IS
369.3514,cholesterol-loss of OH
372.3473,Cer(22:0)
396.2515,LysoPC-P(10:0)
398.2672,LysoPC-O(10:0)
400.3786,Cer(24:0)
408.3838,Cer(26:0) - H2O**IS
411.3474,DG-H20(22:0)
412.2465,LysoPC(10:0)
414.3942,Cer(25:0)
424.2828,LysoPC-P(12:0)
426.2985,LysoPC-O(12:0)
426.394,Cer(26:1)
428.4099,Cer(26:0)**IS
439.3787,DG-H20(24:0)
440.2778,LysoPC(12:0)
440.4096,Cer(27:1)
442.4255,Cer(27:0)
446.3845,DG(22:0)
450.3942,Cer(28:3)
452.3141,LysoPC-P(14:0)
452.4099,Cer(28:2)
453.3943,DG-H20(25:0)
454.3298,LysoPC-O(14:0)
454.4255,Cer(28:1)
456.4412,Cer(28:0)
465.3941,DG-H20(26:1)
466.3297,LysoPC-P(15:0)
467.41,DG-H20(26:0)
468.3091,LysoPC(14:0)
468.3454,LysoPC-O(15:0)
468.4409,Cer(29:1)
470.4568,Cer(29:0)
474.3942,Cer(30:5)
474.4158,DG(24:0)
476.4099,Cer(30:4)
478.3295,LysoPC-P(16:1)
478.4255,Cer(30:3)
479.4097,DG-H20(27:1)
480.3452,LysoPC-O(16:1)
480.3454,LysoPC-P(16:0)
480.4412,Cer(30:2)
481.4256,DG-H20(27:0)
482.3247,LysoPC(15:0)
482.3611,LysoPC-O(16:0)
482.4568,Cer(30:1)
484.4725,Cer(30:0)
488.4314,DG(25:0)
489.3943,DG-H20(28:3)
491.41,DG-H20(28:2)
492.3451,LysoPC-P(17:1)
493.4256,DG-H20(28:1)
494.3245,LysoPC(16:1)
494.3608,LysoPC-O(17:1)
494.361,LysoPC-P(17:0)
495.4413,DG-H20(28:0)
496.3404,LysoPC(16:0)
496.3767,LysoPC-O(17:0)
496.4722,Cer(31:1)
498.4881,Cer(31:0)
500.4093,Cer(32:6)
500.4312,DG(26:1)
502.3297,LysoPC-P(18:3)
502.425,Cer(32:5)
502.4471,DG(26:0)
504.3454,LysoPC-O(18:3) or LysoPC-P(18:2)
504.4412,Cer(32:4)
506.361,LysoPC-P(18:1)
506.3611,LysoPC-O(18:2)
506.4568,Cer(32:3)
507.441,DG-H20(29:1)
508.3401,LysoPC(17:1)
508.3767,LysoPC-O(18:1) or LysoPC-P(18:0)
508.4725,Cer(32:2)
509.3243,PA(22:0)
509.4569,DG-H20(29:0)
510.356,LysoPC(17:0)
510.3924,LysoPC-O(18:0)
510.4879,Cer(32:1)
510.4881,Cer(32:1)
512.5037,Cer(32:0)
512.5038,Cer(32:0)
513.3943,DG-H20(30:5)
514.4468,DG(27:1)
515.41,DG-H20(30:4)
516.4627,DG(27:0)
517.4256,DG-H20(30:3)
518.3247,LysoPC(18:3)
519.4413,DG-H20(30:2)
520.3404,LysoPC(18:2)
520.4724,Cer(33:3)
521.4569,DG-H20(30:1)
522.356,LysoPC(18:1)
522.4881,Cer(33:2)
523.4726,DG-H20(30:0)
524.3717,LysoPC(18:0)
524.4314,DG(28:3)
524.5035,Cer(33:1)
524.5037,Cer(33:1)
526.3297,LysoPC-P(20:5)
526.4471,DG(28:2)
526.5194,Cer(33:0)
528.3454,LysoPC-O(20:5) or LysoPC-P(20:4)
528.4406,Cer(34:6)
528.4627,DG(28:1)
530.361,LysoPC-P(20:3)
530.3611,LysoPC-O(20:4)
530.4563,Cer(34:5)
530.4784,DG(28:0)
532.3767,LysoPC-O(20:3)
532.4725,Cer(34:4)
534.4879,Cer(34:3)
534.4881,Cer(34:3)
535.4723,DG-H20(31:1)
536.5038,Cer(34:2)
537.3556,PA(24:0)
537.4028,SM(22:0)
537.4882,DG-H20(31:0)
538.5192,Cer(34:1)
538.5194,Cer(34:1)
539.4094,DG-H20(32:6)
540.5351,Cer(34:0)
541.4251,DG-H20(32:5)
542.3247,LysoPC(20:5)
542.4781,DG(29:1)
543.4413,DG-H20(32:4)
544.3404,LysoPC(20:4)
544.4724,Cer(35:5)
544.494,DG(29:0)
545.4569,DG-H20(32:3)
546.356,LysoPC(20:3)
546.4881,Cer(35:4)
547.4726,DG-H20(32:2)
548.4314,DG(30:5)
548.5035,Cer(35:3)
548.5037,Cer(35:3)
549.488,DG-H20(32:1)
549.4882,DG-H20(32:1)
550.4236,LysoPC-P(21:0)
550.4471,DG(30:4)
550.5194,Cer(35:2)
551.3712,PA(25:0)
