mz,name
171.1391,FreeFA(10:0)-H-
185.1544,FreeFA(11:0)-H- IS***
199.1704,FreeFA(12:0)-H-
207.1157,FreeFA(10:0)+Cl-
227.2017,FreeFA(14:0)-H-
231.1602,FreeFA(10:0)+AcO-
235.147,FreeFA(12:0)+Cl-
241.2173,FreeFA(15:0)-H-
253.2174,FreeFA(16:1)-H-
255.233,FreeFA(16:0)-H-
259.1915,FreeFA(12:0)+AcO-
263.1783,FreeFA(14:0)+Cl-
267.233,FreeFA(17:1)-H-
269.2487,FreeFA(17:0)-H-
277.1939,FreeFA(15:0)+Cl-
277.2174,FreeFA(18:3)-H-
279.233,FreeFA(18:2)-H-
281.2487,FreeFA(18:1)-H-
283.2643,FreeFA(18:0)-H-
287.2228,FreeFA(14:0)+AcO-
289.194,FreeFA(16:1)+Cl-
291.2096,FreeFA(16:0)+Cl-
301.2174,FreeFA(20:5)-H-
301.2384,FreeFA(15:0)+AcO-
303.2096,FreeFA(17:1)+Cl-
303.233,FreeFA(20:4)-H-
305.2253,FreeFA(17:0)+Cl-
305.2487,FreeFA(20:3)-H-
313.194,FreeFA(18:3)+Cl-
313.2385,FreeFA(16:1)+AcO-
315.2096,FreeFA(18:2)+Cl-
315.2541,FreeFA(16:0)+AcO-
317.2253,FreeFA(18:1)+Cl-
319.2409,FreeFA(18:0)+Cl-
325.3113,FreeFA(21:0)-H-
327.233,FreeFA(22:6)-H-
327.2541,FreeFA(17:1)+AcO-
329.2487,FreeFA(22:5)-H-
329.2698,FreeFA(17:0)+AcO-
331.2643,FreeFA(22:4)-H-
337.194,FreeFA(20:5)+Cl-
337.2385,FreeFA(18:3)+AcO-
339.2096,FreeFA(20:4)+Cl-
339.2541,FreeFA(18:2)+AcO-
339.3269,FreeFA(22:0)-H-
341.2253,FreeFA(20:3)+Cl-
341.2698,FreeFA(18:1)+AcO-
343.2854,FreeFA(18:0)+AcO-
353.3426,FreeFA(23:0)-H-
361.2385,FreeFA(20:5)+AcO-
361.2879,FreeFA(21:0)+Cl-
363.2096,FreeFA(22:6)+Cl-
363.2541,FreeFA(20:4)+AcO-
365.2253,FreeFA(22:5)+Cl-
365.2698,FreeFA(20:3)+AcO-
365.3425,FreeFA(24:1)-H-
367.2409,FreeFA(22:4)+Cl-
367.3582,FreeFA(24:0)-H-
370.3327,Cer(22:0)-H-
375.3035,FreeFA(22:0)+Cl-
385.3324,FreeFA(21:0)+AcO-
387.2541,FreeFA(22:6)+AcO-
389.2698,FreeFA(22:5)+AcO-
389.3192,FreeFA(23:0)+Cl-
