"Molecule_List_Name","Precursor_Name","Precursor_m_z","Precursor_Charge"
"Lipid","Palmitamide**IS",256.2628,1
"Lipid","cholesterol-loss of OH2",367.3359,1
"Lipid","cholesterol-loss of OH",369.3514,1
"Lipid","Cer(22:0)",372.3473,1
"Lipid","LysoPC-P(10:0)",396.2515,1
"Lipid","LysoPC-O(10:0)",398.2672,1
"Lipid","Cer(24:0)",400.3786,1
"Lipid","Cer(26:0) - H2O**IS",408.3838,1
"Lipid","DG-H20(22:0)",411.3474,1
"Lipid","LysoPC(10:0)",412.2465,1
"Lipid","Cer(25:0)",414.3942,1
"Lipid","LysoPC-P(12:0)",424.2828,1
"Lipid","LysoPC-O(12:0)",426.2985,1
"Lipid","Cer(26:0)**IS",426.394,1
"Lipid","Cer(26:1)",428.4099,1
"Lipid","DG-H20(24:0)",439.3787,1
"Lipid","LysoPC(12:0)",440.2778,1
"Lipid","Cer(27:1)",440.4096,1
"Lipid","Cer(27:0)",442.4255,1
"Lipid","DG(22:0)",446.3845,1
"Lipid","Cer(28:3)",450.3942,1
"Lipid","LysoPC-P(14:0)",452.3141,1
"Lipid","Cer(28:2)",452.4099,1
"Lipid","DG-H20(25:0)",453.3943,1
"Lipid","LysoPC-O(14:0)",454.3298,1
"Lipid","Cer(28:1)",454.4255,1
"Lipid","Cer(28:0)",456.4412,1
"Lipid","DG-H20(26:1)",465.3941,1
"Lipid","LysoPC-P(15:0)",466.3297,1
"Lipid","DG-H20(26:0)",467.41,1
"Lipid","LysoPC(14:0)",468.3091,1
"Lipid","LysoPC-O(15:0)",468.3454,1
"Lipid","Cer(29:1)",468.4409,1
"Lipid","Cer(29:0)",470.4568,1
"Lipid","Cer(30:5)",474.3942,1
"Lipid","DG(24:0)",474.4158,1
"Lipid","Cer(30:4)",476.4099,1
"Lipid","LysoPC-P(16:1)",478.3295,1
"Lipid","Cer(30:3)",478.4255,1
"Lipid","DG-H20(27:1)",479.4097,1
"Lipid","LysoPC-O(16:1)",480.3452,1
"Lipid","Cer(30:2)",480.4412,1
"Lipid","DG-H20(27:0)",481.4256,1
"Lipid","LysoPC(15:0)",482.3247,1
"Lipid","LysoPC-O(16:0)",482.3611,1
